"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-04-04","Venta","-285","0","ARS"
"2024-03-20","Venta","-284","0","ARS"
"2024-02-23","Venta","-189","0","ARS"
"2024-01-31","Compra","269","3031.9665427509294","ARS"
"2024-01-23","Compra","122","3264","ARS"
"2024-01-22","Compra","136","3310","ARS"
"2024-01-17","Compra","231","3030.5","ARS"
