especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD35,2024-01-02,35995,35995,34000,35440,24942762,1704164400
GD35,2024-01-03,34505,36600,34505,36600,20217158,1704250800
GD35,2024-01-04,36500,37895,35620,36900,25946696,1704337200
GD35,2024-01-05,36000,37320,34505,37000,17767412,1704423600
GD35,2024-01-08,37700,38800,36500,37850,16275614,1704682800
GD35,2024-01-09,37845,38640,37000,37500,18343772,1704769200
GD35,2024-01-10,38000,39995,37300,38980,11987123,1704855600
GD35,2024-01-11,39900,40500,39000,39495,12551824,1704942000
GD35,2024-01-12,39830,40645,38500,38900,8448819,1705028400
GD35,2024-01-15,38900,40490,38900,39745,6729827,1705287600
GD35,2024-01-16,40500,41450,39035,41100,18227032,1705374000
GD35,2024-01-17,41100,43590,40000,42650,13768711,1705460400
GD35,2024-01-18,43300,44880,42230,42990,26430466,1705546800
GD35,2024-01-19,44000,44000,42500,43645,11374616,1705633200
GD35,2024-01-22,43500,44485,43450,44205,14387898,1705892400
GD35,2024-01-23,44700,44975,43505,44550,22283196,1705978800
GD35,2024-01-24,44340,45500,44005,44590,13895147,1706065200
GD35,2024-01-25,45500,45500,44335,44700,20555228,1706151600
GD35,2024-01-26,45000,45380,42500,42990,8290017,1706238000
GD35,2024-01-29,42500,44200,40990,43700,25775320,1706497200
GD35,2024-01-30,44920,44920,42390,42730,11725232,1706583600
GD35,2024-01-31,43990,43990,40215,41595,16140109,1706670000
GD35,2024-02-01,41595,44500,41000,43700,19114148,1706756400
GD35,2024-02-02,43900,45415,42600,44425,10227695,1706842800
GD35,2024-02-05,45000,45995,44190,44880,20162848,1707102000
GD35,2024-02-06,45975,45975,43200,44300,12775553,1707188400
GD35,2024-02-07,43990,44250,40800,42980,10763061,1707274800
GD35,2024-02-08,42960,43800,41455,41650,8090068,1707361200
GD35,2024-02-09,41600,42245,40400,40690,9588201,1707447600
GD35,2024-02-14,41000,42630,39250,39600,12650841,1707879600
GD35,2024-02-15,39600,41000,38105,41000,12937105,1707966000
GD35,2024-02-16,41030,41640,38515,39700,17702532,1708052400
GD35,2024-02-19,40200,42625,39900,42400,16565585,1708311600
GD35,2024-02-20,42630,43660,40000,41100,38621332,1708398000
GD35,2024-02-21,41100,41690,39505,40000,20828700,1708484400
GD35,2024-02-22,40000,42000,40000,40750,22338548,1708570800
GD35,2024-02-23,41500,42940,40600,42190,23018896,1708657200
GD35,2024-02-26,42100,42730,40355,40850,10972504,1708916400
GD35,2024-02-27,40300,41290,39510,40000,22928696,1709002800
GD35,2024-02-28,39950,40995,37505,39835,9183906,1709089200
GD35,2024-02-29,40070,41430,40055,40680,6886260,1709175600
GD35,2024-03-01,40680,42500,40310,42350,10724072,1709262000
GD35,2024-03-04,43050,44000,41105,42290,16115298,1709521200
GD35,2024-03-05,42500,42500,40800,41300,32255536,1709607600
GD35,2024-03-06,41600,42130,39650,40700,15186619,1709694000
GD35,2024-03-07,40700,41500,40200,40575,12418912,1709780400
GD35,2024-03-08,40600,41500,39305,40350,12496707,1709866800
GD35,2024-03-11,40360,40500,39000,39240,10823876,1710126000
GD35,2024-03-12,40400,43400,39550,42400,21842004,1710212400
GD35,2024-03-13,43500,44995,41800,42300,14517694,1710298800
GD35,2024-03-14,42200,42460,41000,41395,10260107,1710385200
GD35,2024-03-15,41395,42500,41390,42375,11651576,1710471600
GD35,2024-03-18,42500,44000,42500,43220,7386464,1710730800
GD35,2024-03-19,43000,45300,42860,43810,18209988,1710817200
GD35,2024-03-20,44000,45895,44000,45450,36925480,1710903600
GD35,2024-03-21,45450,47000,45450,46590,24743506,1710990000
GD35,2024-03-22,47000,48870,46330,47255,22027996,1711076400
GD35,2024-03-25,47255,47800,46850,46850,19852988,1711335600
GD35,2024-03-26,47500,48070,46960,47085,23965272,1711422000
GD35,2024-03-27,47900,48615,45400,46630,18961014,1711508400
GD35,2024-04-03,46400,46500,45500,46250,18806512,1712113200
GD35,2024-04-04,46250,48980,46250,47100,16548656,1712199600
GD35,2024-04-05,48000,48980,46600,47850,20893528,1712286000
GD35,2024-04-08,48500,49670,47000,49470,49524504,1712545200
GD35,2024-04-09,49450,50500,48850,49450,52539584,1712631600
GD35,2024-04-10,49430,50170,47500,47650,37122088,1712718000
GD35,2024-04-11,47995,48500,47100,47800,23326348,1712804400
GD35,2024-04-12,48900,49000,46760,47000,21903860,1712890800
GD35,2024-04-15,47300,47640,45815,46600,30535440,1713150000
GD35,2024-04-16,46795,46795,45730,46485,16070089,1713236400
GD35,2024-04-17,46600,48900,46600,48500,17095108,1713322800
GD35,2024-04-18,48900,49485,48115,49190,27596564,1713409200
GD35,2024-04-19,49200,50220,48810,50100,25537830,1713495600
GD35,2024-04-22,50300,51860,50120,52200,31251976,1713754800
GD35,2024-04-23,52200,52320,50530,50800,28124104,1713841200
GD35,2024-04-24,50570,50690,49010,50100,20655732,1713927600
GD35,2024-04-25,50500,50500,48840,50350,22464160,1714014000
GD35,2024-04-26,50060,51700,50060,51300,20065074,1714100400
GD35,2024-04-29,52200,52200,51300,51720,23367320,1714359600
GD35,2024-04-30,52000,53000,51400,51510,21999228,1714446000
GD35,2024-05-02,52500,52690,50970,52420,27774506,1714618800
GD35,2024-05-03,53000,53300,52310,52650,23219180,1714705200
GD35,2024-05-06,53000,53650,51650,52820,22517220,1714964400
GD35,2024-05-07,53500,53700,51930,52400,29786188,1715050800
GD35,2024-05-08,52400,52400,51060,51090,27352456,1715137200
GD35,2024-05-09,50500,51100,50480,51000,20574886,1715223600
GD35,2024-05-10,51880,51880,50430,50620,25174480,1715310000
GD35,2024-05-13,50640,51360,50060,50950,21850220,1715569200
GD35,2024-05-14,50960,51710,50700,51350,31411540,1715655600
GD35,2024-05-15,51300,52650,50880,52430,24242972,1715742000
GD35,2024-05-16,51950,53300,51950,52100,20271980,1715828400
GD35,2024-05-17,52650,52650,51550,52000,17006788,1715914800
GD35,2024-05-20,52300,54350,51510,53900,17893272,1716174000
GD35,2024-05-21,54740,55990,53900,55700,19012560,1716260400
GD35,2024-05-22,55500,56730,54000,56050,21270566,1716346800
GD35,2024-05-23,56500,56500,54000,54700,17526788,1716433200
GD35,2024-05-24,54700,55300,52500,53310,22182112,1716519600
GD35,2024-05-27,53310,55320,53290,54650,20583594,1716778800
GD35,2024-05-28,54650,55400,53220,55110,40312424,1716865200
GD35,2024-05-29,55450,56200,54100,54750,23773556,1716951600
GD35,2024-05-30,54900,56300,54900,56090,32728268,1717038000
GD35,2024-05-31,56080,57290,56080,56720,23119008,1717124400
GD35,2024-06-03,57000,57850,56210,57270,18506578,1717383600
GD35,2024-06-04,57200,57910,55750,55900,16406179,1717470000
GD35,2024-06-05,55400,56000,54800,55300,27242008,1717556400
GD35,2024-06-06,55400,55400,53200,53600,43985948,1717642800
GD35,2024-06-07,53550,55450,52600,54740,30774700,1717729200
GD35,2024-06-10,55000,56290,54310,56090,40492080,1717988400
GD35,2024-06-11,56090,57700,54720,55340,63025660,1718074800
GD35,2024-06-12,55340,57500,55340,56300,47157020,1718161200
GD35,2024-06-13,59600,60890,56060,57000,33216458,1718247600
GD35,2024-06-14,57350,59480,57130,57750,26525616,1718334000
GD35,2024-06-18,58100,59450,57520,58110,21073424,1718679600
GD35,2024-06-19,58260,59370,58210,58890,10770942,1718766000
GD35,2024-06-24,59480,60360,58000,58290,41227504,1719198000
GD35,2024-06-25,58380,59000,58000,58570,23219984,1719284400
GD35,2024-06-26,58900,60110,58610,59780,42331896,1719370800
GD35,2024-06-27,60050,60970,59200,59500,26293752,1719457200
GD35,2024-06-28,60480,60890,58810,59400,20320464,1719543600
