especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
GD35,2024-07-01,60200,61000,58800,60400,49470296,1719802800
GD35,2024-07-02,61900,62390,60020,60630,44845032,1719889200
GD35,2024-07-03,61200,61670,58150,59000,30306680,1719975600
GD35,2024-07-04,59500,59790,58400,59490,10583539,1720062000
GD35,2024-07-05,60000,60200,59010,60000,36443296,1720148400
GD35,2024-07-08,58900,58900,55630,57790,18298066,1720407600
GD35,2024-07-10,57900,59450,57900,58590,37610172,1720580400
GD35,2024-07-11,58590,59770,58590,59600,17368228,1720666800
GD35,2024-07-12,59800,60500,59420,59600,15154893,1720753200
GD35,2024-07-15,59500,59500,52010,53300,47098076,1721012400
GD35,2024-07-16,53300,53300,49050,51500,46384232,1721098800
GD35,2024-07-17,51500,55100,50990,52200,20616768,1721185200
GD35,2024-07-18,53000,53800,52260,53020,27181348,1721271600
GD35,2024-07-19,53700,54000,52470,52700,34555400,1721358000
GD35,2024-07-22,52700,54180,52670,53980,32944448,1721617200
GD35,2024-07-23,54500,55600,53900,54400,35973620,1721703600
GD35,2024-07-24,54000,55200,53000,53700,16098819,1721790000
GD35,2024-07-25,53700,54190,52800,53200,19785396,1721876400
GD35,2024-07-26,52850,54490,52500,54000,15711712,1721962800
GD35,2024-07-29,54000,54330,53020,53300,23236802,1722222000
GD35,2024-07-30,53500,53500,51500,51850,22036908,1722308400
GD35,2024-07-31,51900,57420,51850,54620,28051522,1722394800
GD35,2024-08-01,54610,55990,53720,54200,19395792,1722481200
GD35,2024-08-02,54200,54400,52970,54040,19532812,1722567600
GD35,2024-08-05,53800,54390,50200,54200,25511196,1722826800
GD35,2024-08-06,54200,54870,53400,54700,19330744,1722913200
GD35,2024-08-07,54710,55300,53400,55240,20511260,1722999600
GD35,2024-08-08,55240,55400,53850,55000,14389924,1723086000
GD35,2024-08-09,55000,55480,54110,54500,34955408,1723172400
GD35,2024-08-12,55000,55000,53620,53880,22812674,1723431600
GD35,2024-08-13,53880,54370,52870,53490,23806918,1723518000
GD35,2024-08-14,53490,54870,53470,54840,38160432,1723604400
GD35,2024-08-15,55000,56290,54800,55750,36571424,1723690800
GD35,2024-08-16,55800,57500,55800,56990,29047340,1723777200
GD35,2024-08-19,57600,57600,56660,57120,25733232,1724036400
GD35,2024-08-20,57150,57390,56610,56820,19865680,1724122800
GD35,2024-08-21,56810,56820,56000,56150,15840799,1724209200
GD35,2024-08-22,55500,55650,54920,55340,14864643,1724295600
GD35,2024-08-23,55340,56580,55310,56340,19318338,1724382000
GD35,2024-08-26,55610,56890,55610,56790,15131126,1724641200
GD35,2024-08-27,56900,57200,56500,56960,25501250,1724727600
GD35,2024-08-28,57300,57790,56810,57570,19148236,1724814000
GD35,2024-08-29,57830,58690,57820,58180,32436278,1724900400
GD35,2024-08-30,58500,59000,58090,58660,20603556,1724986800
GD35,2024-09-02,59300,60000,57310,59380,10935126,1725246000
GD35,2024-09-03,59200,59200,58100,58200,28899094,1725332400
GD35,2024-09-04,58500,58500,57850,57990,18006464,1725418800
GD35,2024-09-05,57940,58590,57100,57370,13685220,1725505200
GD35,2024-09-06,57940,57940,55500,55980,23553772,1725591600
GD35,2024-09-09,55980,56510,54880,56300,26512244,1725850800
GD35,2024-09-10,56600,56900,56130,56700,30309868,1725937200
GD35,2024-09-11,56700,57390,55590,56660,23150628,1726023600
GD35,2024-09-12,56660,58190,56230,57850,47256120,1726110000
GD35,2024-09-13,57950,58720,57850,58300,35329932,1726196400
GD35,2024-09-16,58800,59400,58640,59270,55188872,1726455600
GD35,2024-09-17,59270,59390,58590,59050,31556856,1726542000
GD35,2024-09-18,59050,59290,58700,59020,30203952,1726628400
GD35,2024-09-19,59050,60180,59050,59490,33634944,1726714800
GD35,2024-09-20,59860,59980,58500,59500,27041816,1726801200
GD35,2024-09-23,60000,60500,59200,60100,30204256,1727060400
GD35,2024-09-24,60100,60550,59450,59790,44144060,1727146800
GD35,2024-09-25,59800,60430,59800,59890,31603244,1727233200
GD35,2024-09-26,59900,60280,59600,59940,30852794,1727319600
GD35,2024-09-27,59710,60200,59550,60080,21440410,1727406000
GD35,2024-09-30,60150,61190,59800,61000,30655872,1727665200
GD35,2024-10-01,61200,61800,60990,61540,30016584,1727751600
GD35,2024-10-02,61650,61990,61300,61680,29225334,1727838000
GD35,2024-10-03,61700,62000,61300,61490,34475856,1727924400
GD35,2024-10-04,61500,61990,61100,61670,24979790,1728010800
GD35,2024-10-07,61670,62700,61670,62500,42037504,1728270000
GD35,2024-10-08,62520,63300,62360,62770,75992528,1728356400
GD35,2024-10-09,62890,64100,62810,63500,91033376,1728442800
GD35,2024-10-10,63600,64100,62910,63400,53332372,1728529200
GD35,2024-10-14,63510,64400,63500,64300,63319588,1728874800
GD35,2024-10-15,64910,66070,64600,65700,85283728,1728961200
GD35,2024-10-16,66200,66490,65340,65710,47280952,1729047600
GD35,2024-10-17,65490,66200,64320,64320,38277512,1729134000
GD35,2024-10-18,64610,65240,64550,64800,30428778,1729220400
GD35,2024-10-21,64990,64990,64120,64500,25643592,1729479600
GD35,2024-10-22,64900,64900,63550,63730,28561580,1729566000
GD35,2024-10-23,64090,64090,63270,63780,29650604,1729652400
GD35,2024-10-24,65300,65490,64410,65270,36917352,1729738800
GD35,2024-10-25,66000,66990,65400,66740,40537648,1729825200
GD35,2024-10-28,67400,67730,66800,67650,53267472,1730084400
GD35,2024-10-29,67850,68300,66840,66900,52004224,1730170800
GD35,2024-10-30,67250,67270,65620,66350,33933128,1730257200
GD35,2024-10-31,66340,66340,65380,65550,26454584,1730343600
GD35,2024-11-01,66900,67740,66010,67450,45884456,1730430000
GD35,2024-11-04,68600,68600,67300,67680,24895228,1730689200
GD35,2024-11-05,67300,68990,67300,68940,25631880,1730775600
GD35,2024-11-06,69220,70100,69110,69550,28717090,1730862000
GD35,2024-11-07,70320,70950,69100,70150,47060824,1730948400
GD35,2024-11-08,70140,70990,69600,70620,30076400,1731034800
GD35,2024-11-11,70620,72310,70410,71900,25038248,1731294000
GD35,2024-11-12,71900,73000,70820,71500,53463472,1731380400
GD35,2024-11-13,71950,72400,71140,72230,46449272,1731466800
GD35,2024-11-14,72990,73000,72200,72770,70605744,1731553200
GD35,2024-11-15,72880,74990,70010,72550,70281600,1731639600
GD35,2024-11-19,73280,73280,71140,71670,58577020,1731985200
GD35,2024-11-20,71670,72650,71280,72390,60602952,1732071600
GD35,2024-11-21,73000,73000,71900,72060,39353120,1732158000
GD35,2024-11-22,72800,72800,71300,71720,26775396,1732244400
GD35,2024-11-25,72500,73500,71720,72000,41508564,1732503600
GD35,2024-11-26,72000,72000,71510,71700,38152840,1732590000
GD35,2024-11-27,71700,71930,71510,71620,32677772,1732676400
GD35,2024-11-28,71890,71890,71030,71650,12988888,1732762800
GD35,2024-11-29,72200,72200,71620,71670,23409894,1732849200
GD35,2024-12-02,71980,71980,71300,71340,24310688,1733108400
GD35,2024-12-03,71400,71600,71000,71400,26834352,1733194800
GD35,2024-12-04,72000,72000,71270,71630,24876800,1733281200
GD35,2024-12-05,72000,72090,69790,69940,44616488,1733367600
GD35,2024-12-06,70000,70500,68630,69740,28140554,1733454000
GD35,2024-12-09,69900,70290,69570,70200,33699984,1733713200
GD35,2024-12-10,70190,70840,70100,70510,30833940,1733799600
GD35,2024-12-11,71000,71150,70010,71000,35922708,1733886000
GD35,2024-12-12,71500,71500,70720,71240,38127460,1733972400
GD35,2024-12-13,71470,72500,70800,72500,46177944,1734058800
GD35,2024-12-16,73240,75650,72380,75400,44980256,1734318000
GD35,2024-12-17,76500,77800,76000,77590,44223416,1734404400
GD35,2024-12-18,76000,80000,76000,78190,50066412,1734490800
GD35,2024-12-19,78980,78980,77240,77250,48787696,1734577200
GD35,2024-12-20,77900,78590,76470,78430,35347052,1734663600
GD35,2024-12-23,79700,79770,78500,79230,31202400,1734922800
GD35,2024-12-24,79700,79950,79200,79690,2149824,1735009200
GD35,2024-12-26,79720,81700,79720,81530,23469896,1735182000
GD35,2024-12-27,82000,82470,80720,81400,36848568,1735268400
GD35,2024-12-30,81880,82450,81500,81800,19644208,1735527600
GD35,2025-01-02,82500,82800,81550,81750,8019363,1735786800
GD35,2025-01-03,82500,83280,82500,83150,26527500,1735873200
GD35,2025-01-06,83500,84300,82620,84100,46686248,1736132400
GD35,2025-01-07,84400,85000,83990,84290,23226112,1736218800
GD35,2025-01-08,83350,83350,80070,82300,32593892,1736305200
GD35,2025-01-09,82900,83500,82050,82550,32307648,1736391600
GD35,2025-01-10,83380,83380,81060,81500,43193512,1736478000
GD35,2025-01-13,81500,81550,80590,81550,28006560,1736737200
GD35,2025-01-14,82000,82390,81030,81280,28261308,1736823600
