"Fecha","Tipo","Nominales","Precio","Moneda"
"2025-01-17","Venta","-17054","78290","ARS"
"2025-01-03","Compra","414","885","ARS"
"2024-12-30","Compra","845","75.03431952662721","USD"
"2024-12-30","Compra","10414","88050","ARS"
"2024-12-27","Compra","42318","75.05751689588355","USD"
"2024-12-27","Venta","-5000","0","ARS"
"2024-12-27","Venta","-42318","0","ARS"
"2024-12-19","Compra","22184","84740","ARS"
"2024-12-17","Venta","-10000","74.0769","USD"
"2024-11-21","Venta","-16453","0","ARS"
"2024-10-15","Venta","-2271","0","ARS"
"2024-10-15","Compra","2771","64.07650667629015","USD"
"2024-10-04","Compra","1076","70590","ARS"
"2024-10-04","Compra","8413","59.40401759182218","USD"
"2024-08-16","Compra","9346","64180","ARS"
"2024-08-14","Compra","7171","62600","ARS"
"2024-08-06","Compra","8593","62650","ARS"
"2024-08-02","Compra","157","62600","ARS"
"2024-07-24","Compra","2155","63960","ARS"
"2024-07-22","Venta","-9496","47.14911541701769","USD"
"2024-07-19","Compra","9496","62530","ARS"
"2024-07-17","Venta","-9346","48.72351808260218","USD"
"2024-07-16","Compra","9346","63560","ARS"
"2024-07-08","Venta","-7653","53.111459558343135","USD"
"2024-07-05","Compra","7653","74070.27962890369","ARS"
"2024-07-03","Compra","3967","74480","ARS"
"2024-07-03","Venta","-4000","53.22125","USD"
"2024-06-26","Compra","70","73740","ARS"
"2024-06-26","Venta","-6887","55.328154493974154","USD"
"2024-06-25","Compra","6887","71849.75751415711","ARS"
"2024-06-25","Venta","-3861","55.14452214452214","USD"
"2024-06-24","Compra","3861","71950","ARS"
"2024-06-19","Compra","517","71880","ARS"
"2024-05-21","Venta","-1000","0","ARS"
"2024-05-14","Venta","-1000","0","ARS"
"2024-05-14","Compra","1681","59.703152885187386","USD"
"2024-05-09","Compra","3416","58.39168618266979","USD"
"2024-05-09","Venta","-3416","0","ARS"
"2024-05-07","Compra","3360","59.67857142857143","USD"
"2024-05-03","Compra","2095","58.39570405727924","USD"
"2024-05-03","Venta","-2095","0","ARS"
"2024-04-30","Venta","-3329","58.806548513066986","USD"
"2024-04-29","Compra","3329","60570","ARS"
"2024-04-24","Compra","3434","58.37216074548631","USD"
"2024-04-24","Venta","-3432","0","ARS"
"2024-04-22","Compra","3396","59.042991755005886","USD"
"2024-04-22","Venta","-3300","0","ARS"
"2024-04-10","Venta","-1000","0","ARS"
"2024-04-09","Venta","-10362","59.066106929164256","USD"
"2024-04-08","Compra","10362","57242.70218104613","ARS"
"2024-04-05","Venta","-1000","0","ARS"
"2024-04-04","Venta","-4000","55.85825","USD"
"2024-04-04","Compra","3254","55991.284572833436","ARS"
"2024-03-27","Compra","929","53.909580193756724","USD"
"2024-03-27","Venta","-930","0","ARS"
"2024-03-27","Venta","-3417","53.51916886157448","USD"
"2024-03-26","Compra","3417","54680","ARS"
"2024-03-20","Venta","-879","0","ARS"
"2024-03-20","Compra","879","51.184300341296925","USD"
"2024-03-11","Compra","2126","46.39275634995296","USD"
"2024-03-11","Venta","-2126","0","ARS"
"2024-03-05","Venta","-2409","46.34910751349108","USD"
"2024-03-04","Compra","2409","49280","ARS"
"2024-02-27","Venta","-4960","0","ARS"
"2024-02-27","Compra","4982","44.271577679646725","USD"
"2024-02-27","Venta","-4155","44.11528279181709","USD"
"2024-02-26","Compra","4155","47183.1083032491","ARS"
"2024-02-26","Venta","-3999","44.10102525631408","USD"
"2024-02-23","Compra","3999","47020","ARS"
"2024-02-19","Compra","3440","46.425","USD"
"2024-02-19","Venta","-3440","0","ARS"
"2024-02-15","Venta","-1777","0","ARS"
"2024-02-15","Compra","1777","43.02476083286438","USD"
"2024-02-09","Compra","3172","48605.56116015132","ARS"
"2024-02-09","Venta","-200","40.795","USD"
"2024-02-08","Compra","200","48820","ARS"
"2024-02-06","Venta","-4880","41.42172131147541","USD"
"2024-02-05","Compra","4880","49690","ARS"
"2024-01-30","Compra","1100","49060","ARS"
"2024-01-25","Compra","53","49600","ARS"
"2024-01-23","Venta","-5270","38.70626185958254","USD"
"2024-01-23","Compra","8069","48580.09914487545","ARS"
"2024-01-22","Compra","5270","46940","ARS"
"2024-01-19","Compra","5004","46125.687450039964","ARS"
"2024-01-18","Compra","3230","46300","ARS"
"2024-01-17","Compra","4380","44700","ARS"
"2024-01-16","Compra","5283","37.61272004542873","USD"
"2024-01-16","Venta","-5283","0","ARS"
"2024-01-12","Compra","2427","42505","ARS"
