"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-11-13","Venta","-623","0","ARS"
"2024-10-14","Venta","-355","0","ARS"
"2024-10-09","Compra","355","7930","ARS"
"2024-04-24","Compra","171","5725","ARS"
"2024-04-22","Compra","85","5768.3","ARS"
"2024-04-10","Compra","88","6486.363636363636","ARS"
"2024-04-05","Compra","83","6700","ARS"
"2024-04-04","Compra","74","6950","ARS"
"2024-03-27","Compra","18","7000","ARS"
"2024-03-26","Compra","104","7249","ARS"
