"Fecha","Tipo","Nominales","Precio","Moneda"
"2024-04-24","Venta","-366","0","ARS"
"2024-02-19","Compra","142","3536.8908450704225","ARS"
"2024-01-23","Compra","224","3869.5","ARS"
